accounts,version_id,observe_dt,treatment_detail_id,name
837,2,2022-04-19,2,180
13353,2,2022-04-20,2,180
9,2,2022-04-21,2,180
26,2,2022-04-22,2,180
39,2,2022-04-23,2,180
16,2,2022-04-24,2,180
14,2,2022-04-25,2,180
34,2,2022-04-26,2,180
16,2,2022-04-27,2,180
6,2,2022-04-28,2,180
25,2,2022-04-29,2,180
29,2,2022-04-30,2,180
12,2,2022-05-01,2,180
17,2,2022-05-02,2,180
48,2,2022-05-03,2,180
11,2,2022-05-04,2,180
9,2,2022-05-05,2,180
26,2,2022-05-06,2,180
37,2,2022-05-07,2,180
8,2,2022-05-08,2,180
11,2,2022-05-09,2,180
36,2,2022-05-10,2,180
13,2,2022-05-11,2,180
8,2,2022-05-12,2,180
19,2,2022-05-13,2,180
24,2,2022-05-14,2,180
8,2,2022-05-15,2,180
15,2,2022-05-16,2,180
48,2,2022-05-17,2,180
14,2,2022-05-18,2,180
5,2,2022-05-19,2,180
24,2,2022-05-20,2,180
18,2,2022-05-21,2,180
1,2,2022-05-22,2,180
7,2,2022-05-23,2,180
36,2,2022-05-24,2,180
6,2,2022-05-25,2,180
5,2,2022-05-26,2,180
12,2,2022-05-27,2,180
14,2,2022-05-28,2,180
2,2,2022-05-29,2,180
9,2,2022-05-30,2,180
20,2,2022-05-31,2,180
14,2,2022-06-01,2,180
5,2,2022-06-02,2,180
15,2,2022-06-03,2,180
19,2,2022-06-04,2,180
5,2,2022-06-05,2,180
4,2,2022-06-06,2,180
13,2,2022-06-07,2,180
7,2,2022-06-08,2,180
3,2,2022-06-09,2,180
6,2,2022-06-10,2,180
12,2,2022-06-11,2,180
4,2,2022-06-12,2,180
4,2,2022-06-13,2,180
16,2,2022-06-14,2,180
12,2,2022-06-15,2,180
5,2,2022-06-16,2,180
6,2,2022-06-17,2,180
12,2,2022-06-18,2,180
3,2,2022-06-19,2,180
2,2,2022-06-20,2,180
14,2,2022-06-21,2,180
5,2,2022-06-22,2,180
3,2,2022-06-23,2,180
5,2,2022-06-24,2,180
8,2,2022-06-25,2,180
7,2,2022-06-26,2,180
2,2,2022-06-27,2,180
16,2,2022-06-28,2,180
10,2,2022-06-29,2,180
5,2,2022-06-30,2,180
9,2,2022-07-01,2,180
31,2,2022-07-02,2,180
10,2,2022-07-03,2,180
3,2,2022-07-04,2,180
12,2,2022-07-05,2,180
8,2,2022-07-06,2,180
7,2,2022-07-07,2,180
10,2,2022-07-08,2,180
10,2,2022-07-09,2,180
3,2,2022-07-10,2,180
13,2,2022-07-12,2,180
4,2,2022-07-13,2,180
2,2,2022-07-14,2,180
8,2,2022-07-15,2,180
20,2,2022-07-16,2,180
3,2,2022-07-17,2,180
1,2,2022-07-18,2,180
12,2,2022-07-19,2,180
2,2,2022-07-20,2,180
3,2,2022-07-21,2,180
6,2,2022-07-22,2,180
8,2,2022-07-23,2,180
2,2,2022-07-24,2,180
3,2,2022-07-25,2,180
10,2,2022-07-26,2,180
4,2,2022-07-27,2,180
7,2,2022-07-29,2,180
8,2,2022-07-30,2,180
4,2,2022-08-01,2,180
17,2,2022-08-02,2,180
7,2,2022-08-03,2,180
4,2,2022-08-04,2,180
7,2,2022-08-05,2,180
18,2,2022-08-06,2,180
2,2,2022-08-07,2,180
1,2,2022-08-08,2,180
15,2,2022-08-09,2,180
9,2,2022-08-10,2,180
2,2,2022-08-11,2,180
1,2,2022-08-12,2,180
8,2,2022-08-13,2,180
1,2,2022-08-14,2,180
1,2,2022-08-15,2,180
15,2,2022-08-16,2,180
6,2,2022-08-17,2,180
3,2,2022-08-18,2,180
7,2,2022-08-19,2,180
10,2,2022-08-20,2,180
8,2,2022-08-21,2,180
4,2,2022-08-22,2,180
14,2,2022-08-23,2,180
7,2,2022-08-24,2,180
1,2,2022-08-25,2,180
12,2,2022-08-26,2,180
5,2,2022-08-27,2,180
1,2,2022-08-28,2,180
1,2,2022-08-29,2,180
7,2,2022-08-30,2,180
12,2,2022-08-31,2,180
4,2,2022-09-01,2,180
5,2,2022-09-02,2,180
9,2,2022-09-03,2,180
4,2,2022-09-04,2,180
5,2,2022-09-05,2,180
4,2,2022-09-06,2,180
14,2,2022-09-07,2,180
7,2,2022-09-08,2,180
7,2,2022-09-09,2,180
10,2,2022-09-10,2,180
1,2,2022-09-12,2,180
9,2,2022-09-13,2,180
498,3,2022-04-19,4,charge_off_day
15650,3,2022-04-20,4,charge_off_day
42,3,2022-04-21,4,charge_off_day
48,3,2022-04-22,4,charge_off_day
1080,3,2022-04-23,4,charge_off_day
191,3,2022-04-24,4,charge_off_day
268,3,2022-04-25,4,charge_off_day
335,3,2022-04-26,4,charge_off_day
1724,3,2022-04-27,4,charge_off_day
29,3,2022-04-28,4,charge_off_day
36,3,2022-04-29,4,charge_off_day
481,3,2022-04-30,4,charge_off_day
117,3,2022-05-01,4,charge_off_day
178,3,2022-05-02,4,charge_off_day
312,3,2022-05-03,4,charge_off_day
1543,3,2022-05-04,4,charge_off_day
40,3,2022-05-05,4,charge_off_day
34,3,2022-05-06,4,charge_off_day
51,3,2022-05-07,4,charge_off_day
919,3,2022-05-08,4,charge_off_day
187,3,2022-05-09,4,charge_off_day
371,3,2022-05-10,4,charge_off_day
1581,3,2022-05-11,4,charge_off_day
23,3,2022-05-12,4,charge_off_day
28,3,2022-05-13,4,charge_off_day
418,3,2022-05-14,4,charge_off_day
145,3,2022-05-15,4,charge_off_day
155,3,2022-05-16,4,charge_off_day
319,3,2022-05-17,4,charge_off_day
1594,3,2022-05-18,4,charge_off_day
26,3,2022-05-19,4,charge_off_day
34,3,2022-05-20,4,charge_off_day
459,3,2022-05-21,4,charge_off_day
484,3,2022-05-22,4,charge_off_day
177,3,2022-05-23,4,charge_off_day
520,3,2022-05-24,4,charge_off_day
1564,3,2022-05-25,4,charge_off_day
21,3,2022-05-26,4,charge_off_day
24,3,2022-05-27,4,charge_off_day
473,3,2022-05-28,4,charge_off_day
118,3,2022-05-29,4,charge_off_day
129,3,2022-05-30,4,charge_off_day
351,3,2022-05-31,4,charge_off_day
1523,3,2022-06-01,4,charge_off_day
50,3,2022-06-02,4,charge_off_day
56,3,2022-06-03,4,charge_off_day
363,3,2022-06-04,4,charge_off_day
459,3,2022-06-05,4,charge_off_day
181,3,2022-06-06,4,charge_off_day
291,3,2022-06-07,4,charge_off_day
1448,3,2022-06-08,4,charge_off_day
20,3,2022-06-09,4,charge_off_day
30,3,2022-06-10,4,charge_off_day
26,3,2022-06-11,4,charge_off_day
450,3,2022-06-12,4,charge_off_day
138,3,2022-06-13,4,charge_off_day
272,3,2022-06-14,4,charge_off_day
1442,3,2022-06-15,4,charge_off_day
32,3,2022-06-16,4,charge_off_day
39,3,2022-06-17,4,charge_off_day
631,3,2022-06-18,4,charge_off_day
446,3,2022-06-19,4,charge_off_day
193,3,2022-06-20,4,charge_off_day
491,3,2022-06-21,4,charge_off_day
1552,3,2022-06-22,4,charge_off_day
37,3,2022-06-23,4,charge_off_day
21,3,2022-06-24,4,charge_off_day
432,3,2022-06-25,4,charge_off_day
120,3,2022-06-26,4,charge_off_day
121,3,2022-06-27,4,charge_off_day
340,3,2022-06-28,4,charge_off_day
1456,3,2022-06-29,4,charge_off_day
33,3,2022-06-30,4,charge_off_day
19,3,2022-07-01,4,charge_off_day
336,3,2022-07-02,4,charge_off_day
480,3,2022-07-03,4,charge_off_day
178,3,2022-07-04,4,charge_off_day
266,3,2022-07-05,4,charge_off_day
1696,3,2022-07-06,4,charge_off_day
44,3,2022-07-07,4,charge_off_day
24,3,2022-07-08,4,charge_off_day
432,3,2022-07-09,4,charge_off_day
120,3,2022-07-10,4,charge_off_day
151,3,2022-07-11,4,charge_off_day
322,3,2022-07-12,4,charge_off_day
1621,3,2022-07-13,4,charge_off_day
20,3,2022-07-14,4,charge_off_day
12,3,2022-07-15,4,charge_off_day
405,3,2022-07-16,4,charge_off_day
101,3,2022-07-17,4,charge_off_day
243,3,2022-07-18,4,charge_off_day
362,3,2022-07-19,4,charge_off_day
1943,3,2022-07-20,4,charge_off_day
21,3,2022-07-21,4,charge_off_day
23,3,2022-07-22,4,charge_off_day
738,3,2022-07-23,4,charge_off_day
221,3,2022-07-24,4,charge_off_day
128,3,2022-07-25,4,charge_off_day
337,3,2022-07-26,4,charge_off_day
1533,3,2022-07-27,4,charge_off_day
23,3,2022-07-28,4,charge_off_day
19,3,2022-07-29,4,charge_off_day
444,3,2022-07-30,4,charge_off_day
114,3,2022-07-31,4,charge_off_day
157,3,2022-08-01,4,charge_off_day
342,3,2022-08-02,4,charge_off_day
1971,3,2022-08-03,4,charge_off_day
36,3,2022-08-04,4,charge_off_day
20,3,2022-08-05,4,charge_off_day
417,3,2022-08-06,4,charge_off_day
137,3,2022-08-07,4,charge_off_day
218,3,2022-08-08,4,charge_off_day
345,3,2022-08-09,4,charge_off_day
1736,3,2022-08-10,4,charge_off_day
34,3,2022-08-11,4,charge_off_day
18,3,2022-08-12,4,charge_off_day
436,3,2022-08-13,4,charge_off_day
129,3,2022-08-14,4,charge_off_day
169,3,2022-08-15,4,charge_off_day
404,3,2022-08-16,4,charge_off_day
1743,3,2022-08-17,4,charge_off_day
36,3,2022-08-18,4,charge_off_day
25,3,2022-08-19,4,charge_off_day
1048,3,2022-08-20,4,charge_off_day
384,3,2022-08-21,4,charge_off_day
283,3,2022-08-22,4,charge_off_day
452,3,2022-08-23,4,charge_off_day
1793,3,2022-08-24,4,charge_off_day
27,3,2022-08-25,4,charge_off_day
29,3,2022-08-26,4,charge_off_day
420,3,2022-08-27,4,charge_off_day
205,3,2022-08-28,4,charge_off_day
161,3,2022-08-29,4,charge_off_day
311,3,2022-08-30,4,charge_off_day
1840,3,2022-08-31,4,charge_off_day
34,3,2022-09-01,4,charge_off_day
34,3,2022-09-02,4,charge_off_day
860,3,2022-09-03,4,charge_off_day
134,3,2022-09-04,4,charge_off_day
229,3,2022-09-05,4,charge_off_day
336,3,2022-09-06,4,charge_off_day
1936,3,2022-09-07,4,charge_off_day
42,3,2022-09-08,4,charge_off_day
32,3,2022-09-09,4,charge_off_day
423,3,2022-09-10,4,charge_off_day
149,3,2022-09-11,4,charge_off_day
265,3,2022-09-12,4,charge_off_day
341,3,2022-09-13,4,charge_off_day
